Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
16;infrastructure;NETGEAR07;80:37:73:CD:7B:2A;;6;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Sat Jul 23 13:46:02 2016;Sat Jul 23 14:35:45 2016;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;NETGEAR04;A0:63:91:3B:71:FA;;4;No;WPA2,AES-CCM;No;54.0;0;18;0;0;0;0;0;;;Sat Jul 23 13:38:35 2016;Sat Jul 23 14:29:53 2016;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;;C6:8E:8F:25:BB:4D;;1;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Sat Jul 23 14:27:44 2016;Sat Jul 23 14:27:45 2016;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;;A0:63:91:3B:3C:66;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat Jul 23 14:20:41 2016;Sat Jul 23 14:20:44 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;Erics Colorado;78:61:7C:0C:77:E2;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;26;0;0;0;0;0;;;Sat Jul 23 13:45:02 2016;Sat Jul 23 13:45:09 2016;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;BlackSilverado;78:61:7C:18:B5:46;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;50;0;0;0;0;0;;;Sat Jul 23 13:46:28 2016;Sat Jul 23 13:46:39 2016;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;;C4:04:15:02:8B:EE;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat Jul 23 14:00:27 2016;Sat Jul 23 14:00:27 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;;AC:B3:13:CD:5E:8D;;1;No;OPN,None;No;-1.0;0;0;0;2;0;0;2;;;Sat Jul 23 13:45:52 2016;Sat Jul 23 14:11:48 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;;6C:70:9F:EA:85:C9;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat Jul 23 14:21:48 2016;Sat Jul 23 14:21:48 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;103302028;00:02:6F:7E:A4:41;;1;No;WPA,TKIP;No;54.0;0;5585;0;2241;0;0;2241;;;Sat Jul 23 14:13:28 2016;Sat Jul 23 14:26:12 2016;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;Living Room.b;FA:8F:CA:82:B0:0A;;6;No;OPN,None;No;54.0;0;0;0;0;0;0;0;;;Sat Jul 23 14:01:14 2016;Sat Jul 23 14:37:39 2016;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;NETGEAR30;A0:63:91:31:83:07;;1;No;WPA2,AES-CCM;No;54.0;0;0;0;1;0;0;1;;;Sat Jul 23 13:47:31 2016;Sat Jul 23 14:40:51 2016;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;ARRIS-CD81;14:AB:F0:72:CD:8D;;11;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;24;0;0;0;0;0;;;Sat Jul 23 13:40:41 2016;Sat Jul 23 14:40:58 2016;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;;EC:1A:59:D2:1B:B7;;1;No;OPN,None;No;-1.0;0;0;0;1;0;0;1;;;Sat Jul 23 14:40:45 2016;Sat Jul 23 14:41:02 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.169.2;
30;infrastructure;Percy123;F0:AB:54:06:6B:20;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;52;0;0;0;0;0;;;Sat Jul 23 14:44:04 2016;Sat Jul 23 14:44:14 2016;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;;05:00:80:00:8C:AB;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat Jul 23 13:38:04 2016;Sat Jul 23 14:53:34 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;;05:00:80:00:77:93;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat Jul 23 13:38:16 2016;Sat Jul 23 14:54:10 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
